Title,Artist,Creation Date,Image URL,Description,Price
Unfinished painting,Barnett Newman,20th century,,"A reassembled composite of fragments of an unfinished painting. Annalee Newman, the artist's widow, destroyed the unfinished work according to her husband's wishes, by cutting the painted canvas up into many fragments. Some time later, she had the fragments reassembled and lined onto a supplementary canvas. Some of the cut lines have been filled with a white fill material, but all of the cuts are left visible. The original orientation of the unfinished painting is not known, but the canvas is unevenly bisected into white and blue fields. The blue field appears to be painted on a white ground layer, with a darker blue layer underneath a lighter blue upper layer. The reassembled unfinished painting is mounted on a wooden stretcher with staples on the unpainted margins. There appears to be an artist applied coating, applied irregularly with a large brush overall. There is also discolored adhesive residue overall, which may be from the lining process.",8100.54
Cullodon,James Brooks,1967,,,3720.61
Hercules Strangling the Nemean Lion,Peter Paul Rubens,c. 1639,https://nrs.harvard.edu/urn-3:HUAM:776407,,8358.77
Panel One (Harvard Mural Triptych),Mark Rothko,1962,,,6354.55
Edward Wigglesworth (1731-1794),James Reeve Stuart,1895,https://nrs.harvard.edu/urn-3:HUAM:50919_dynmc,,6925.94
Landscape with Windmill and Wayside Chapel,Marten Rijckaert,c. 1628,https://nrs.harvard.edu/urn-3:HUAM:70760_dynmc,,8516.33
Red Painting,Joseph Marioni,1999,https://nrs.harvard.edu/urn-3:HUAM:60684_dynmc,"The painting is a large, vertical plane of deep mahogany red-brown acrylic, painted in two distinct layers of thick and thinly applied acrylic, beginning with a stain of dark, ""Benzimidazo"" brown, which acts as a primer. Its outer surface of ""Azoic plum brown"" appears tactile and shiny, almost sticky. The layers vary visibly in tonality and density and the plum brown surface begins to gather into extended drips that coalesce in a series of parallel rivulets about halfway down the picture plane; towards the bottom center, it pools into a series of more marked gullies and ridges, pulling apart like a painterly fjord, and lifting, like a skirt, to reveal the stain below. The acrylic also shrinks in along some of the edges, gaining thickness as it does so, and these effects, along with the implied flow of the medium , the ""breathing room"" between the layers, and its orientation and scale, serve to give the painting an anthropomorphic, object quality. The painting entreats one to interact with it as a whole object/image, and not as a picture of assorted forms or things or parts; it also gains considerably when viewed in daylight. The title, ""Red Painting 1999 No. 4"", 1999, refers to the fact that this is the fourthpainting executed by Marioni in 1999. It is part of a set of four paintings executed in anticipation of the Fogg’s selection of one, and intended to ""show the range of Marioni’s approaches to his monochromes.""",5089.06
"Old Weathered Plum Tree with Spring Blossoms, in the Manner of the Chinese Painter Wu Zhen (1280-1354)",Cho Hŭi-ryong,mid-19th century,https://nrs.harvard.edu/urn-3:HUAM:71985_dynmc,"This plum-blossom painting is an expressive combination of balanced contrasts: soft, rounded plum blossoms and buds delicately rest on sharp branches that burst in every direction; watery ink washes are punctuated with black dots scattered along the image. 

The vertical crease that runs down the center of this plum-blossom painting indicates that it was once part of an accordion-fold album. Now mounted as a hanging scroll, the painting is believed to have originated from an album of sixteen leaves, all by the same artist. The four-character inscription at the lower right of this painting reads Mae-do-in chak (Chinese, Meidaoren zuo), which might be translated ""Made by Mae-do-in"" or ""Made by the Plum Daoist."" While it would seem an entirely appropriate phrase for Cho Hŭi-ryong, Meidaoren is in fact a hao, or sobriquet, of the renowned fourteenth-century Chinese ink plum painter Wu Zhen (1280-1354). Thus, these four characters are not a signature of Cho Hŭi-ryong; rather, they indicate that in painting this album leaf, Cho imitated the style of Wu Zhen. The rugged, expressive brushwork, however, not only marks the painting as a nineteenth-century work, but distinguishes it from paintings done in earlier centuries, which typically would have attempted a more naturalistic depiction using more delicate and descriptive brushwork.
",9869.23
"Illustrated Story of the Origin of Hashidate (Hashidate no honji), the Shrine at Ama no Hashidate",Unknown Artist,"Early Edo period, mid 17th century",https://nrs.harvard.edu/urn-3:HUAM:DDC109491_dynmc,,1380.18
"Early Spring Blossoms on an Old, Gnarled Plum Tree",Pae Chŏn (also known as Ch'a-san ['ho']),late 19th century,https://nrs.harvard.edu/urn-3:HUAM:73742_dynmc,,6337.61
John Fitzgerald Kennedy (1917-1963),Germain Green Glidden,1961,,,2531.25
Portrait of a Youth,Unknown Artist,mid 19th century,https://nrs.harvard.edu/urn-3:HUAM:789233,"The composition of this portrait study was first outlined in pencil and then blocked out with fields of watercolor, as is evidenced in the sitter’s chair. Next, the artist added opaque watercolor in layers, using fine lines and stippling to replicate the designs and textures of fabrics, most prominently those of the young man’s patterned coat and its gray fur trim. In contrast to his brightly colored clothing, his face is generally pallid, but blues beneath his chin and mouth suggest the hint of a beard. The play on near monochrome is continued in the silhouetted, inky locks that frame his face and give way to a tall black hat. The subject’s position in the composition and aspects of painterly execution such as the modeling of his face and hands suggest that the image was based at least in part on a photograph, a practice common among Qajar artists from the mid-nineteenth century onward, photography having been introduced in Iran in the 1840s. The painting reflects the “new realism” introduced by Abu'l-Hasan Ghaffari, also known as Sani' al-Mulk, in the middle years of the nineteenth century, during the reign of Nasir al-Din Shah (r. 1848–96), and disseminated by his contemporaries. Ghaffari’s work combined physiognomic likeness with the psychology of the subject to produce an often intense pictorial effect—a “real” presence—undiminished by rich decorative details, which in some artists’ hands might emphasize surface at the expense of illusionistic volume and depth. Although this portrait lacks the overall impact of a work by Ghaffari, it demonstrates its painter’s participation in what was new at the time.
On the lower right side of the sheet, a barely visible inscription, which reads, tasvvr-i dukhtar-i Shahrukh (depiction [by] the daughter of Shahrukh), is tantalizing because it suggests a female artist. Unfortunately, however, this notation is too perfunctory and too uncertain in date to permit further conclusions.",6456.9
"Highland, Franklin, Yucca",Edward Ruscha,1999,https://nrs.harvard.edu/urn-3:HUAM:53737_dynmc,,6808.74
Kristine L. Forsgard (b. 1953) and Stephen A. Mitchell (b.1951),C. Kenneth Fan,2000,,,2994.73
To _________ (Shelley),Doug Ohlson,1977,,"Painting is oil on primed canvas, with unpainted edges and a thinly painted black surface, over which the artist has applied a slightly thicker layer of paint with a palette knife. The composition comprises a square of deep purple surrounded by various oblong/rectangular/squarish shapes in a subtly calibrated range of charcoal/brown blacks that read as a frame for this interior square.",7732.32
James Luther Adams (1901-1994),Paul Hertz,1975,,,7133.76
Panel Four,Mark Rothko,1962,,,5150.73
James Luther Adams (1901-1994),James Engerseth,1978,,,9213.13
Sarah Cabot Parkman Atkinson (1818-1892),Charles Robert Leslie,c. 1833-1834,https://nrs.harvard.edu/urn-3:huam:DDC112112_dynmc,,5273.17
Elizabeth Cary Agassiz (1822-1907),Sarah Wyman Whitman,1894,https://nrs.harvard.edu/urn-3:HUAM:75845_dynmc,,6006.45
Cowboy and Indian,Kanishka Raja,2001,,,7237.92
Orchid and Rock,Kim Ŭng-wŏn (also spelled Gim Eung'won; also known as So-ho and Ch'ŏn-ram),late 19th-early 20th century,https://nrs.harvard.edu/urn-3:HUAM:71981_dynmc,"An important painter and calligrapher of the late Chosŏn period, Kim Ŭng-wŏn is best remembered for his depictions of orchids, which he painted in the manner of the nineteenth-century master Prince Yi Ha-ŭng. (A magnificent screen by Prince Yi Ha-ŭng is featured in this gallery's glass-fronted screen case.) A professor of painting and calligraphy at the Institute of Arts in Seoul, Kim was also one of the founders of the Painting and Calligraphy Association, established in 1918. 

The orchid, a symbol of loyalty and personal integrity, held a fascination for literati painters, since its grasslike leaves and delicate, simple flowers lent themselves to depiction with calligraphic brushwork. Chinese artists had begun to paint the orchid during the Song dynasty (960-1279), the subject becoming ever more popular in the succeeding Ming (1368-1644) and Qing (1644-1911) dynasties. By the eighteenth century, the taste for paintings of orchids had spread to Korea, where these works enjoyed considerable vogue in the nineteenth and twentieth centuries. 

Chinese and Korean artists typically paired orchids and rocks, the orchids coaxing the artist to employ his most delicate, curvilinear brushwork, the rocks tempting him to present his most forceful and expressionistic brushwork. The inscription on this painting translates as:

While sitting quietly, I sense a subtle fragrance.
Such subtlety exists only between reality and imagination.
--So-ho
",2135.84
verso of Elephant Combat: Mola Prasad Defeats Himat-har (?),Unknown Artist,second quarter of the 17th century,https://nrs.harvard.edu/urn-3:HUAM:72813_dynmc,,5132.47
"Two Birds, Probably Magpies, on a Branch of Blossoming Plum",Unknown Artist,17th-18th century,https://nrs.harvard.edu/urn-3:HUAM:73794_dynmc,,2264.65
River Thoughts No. 5 (Jianghuai zhi wu),Wucius Wong (Wang Wuxie) 王無邪,1991,,,2757.33
Lord of the Realm [Ung-shi p'al-hwang],Kim Ŭn-ho (also known as I-tang ['ho']),20th century,,,5267.05
Maria Denny Fay (1820-1890),Unidentified Artist,c. 1850,https://nrs.harvard.edu/urn-3:HUAM:75846_dynmc,,4388.18
"Flagpole, Apple Tree, and Garden",Arthur G. Dove,1943-1944,https://nrs.harvard.edu/urn-3:HUAM:DDC105430_dynmc,,1193.89
Self-Help,Laura Theresa Alma-Tadema,c. 1885,https://nrs.harvard.edu/urn-3:HUAM:70217_dynmc,,2102.9
"The Wedding of Krishna and Rukmini, folio from a Bhagavata Purana Series",Unknown Artist,c. 1820,https://nrs.harvard.edu/urn-3:HUAM:53439_dynmc,"The painting depicts Krishna, the eight avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, marrying Rukmini. Rukmini becomes the principal wife and queen of Krishna. The blue-skinned god is seated next to Rukmini. They face priests that are conducting the wedding ceremony. In front of them is a small fire. In Hindu wedding ceremonies, the bride and groom perform a ritual called mangalfera, in which they both walk around the fire four times, praying and exchanging vows of duty, love, fidelity, and respect. Two female musicians sit on the far left, and two women watch the ceremony from a window.",3910.37
James Howard Means (1885-1967),Pietro (Peter) Pezzati,1950,https://nrs.harvard.edu/urn-3:HUAM:771653,,6205.41
"Mountain Landscape: ""Jhelum  below Dulai",Unknown Artist,19th century,https://nrs.harvard.edu/urn-3:HUAM:ISL10175_dynmc,"The watercolor shows a rocky river bank with mountains in the middle-ground and the distance. At the bottom of the rocks in the foreground is an inscription written in brown ink: “Jhelum below Dulai”. “Jhelum” refers to the Jhelum River that flows through Indian and Pakistani-controlled portions of Kashmir, as well as Pakistani-controlled portions of Punjab. “Dulai” Is located in Azad Kashmir, Pakistan. Company School.",5439.59
"Krishna Kidnaps Rukmini, folio from a Bhagavata Purana Series",Unknown Artist,c. 1820,https://nrs.harvard.edu/urn-3:HUAM:ISL10188_dynmc,"The painting depicts Krishna, the eight avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, kidnapping Rukmini. Rukimini is shown getting into Krishna’s horse-drawn chariot. The scene takes place at a white outdoor shrine dedicated to the god Shiva, lord of destruction. The mound covered in flowers within the sanctum is a lingam, Shiva’s aniconic form. 

Rukmini becomes the principal wife and queen of Krishna. At her request, Krishna kidnaps and elopes with Rukmini to prevent an unwanted marriage with the evil king Shishupala, who was also Krishna’s cousin. 
",6239.22
To the Convalescent Woman (Triptych),Erich Heckel,1912-1913,,,3340.88
Girl Playing a Cello,Lilla Cabot Perry,1891,https://nrs.harvard.edu/urn-3:HUAM:76441_dynmc,,2773.6
View on the Hudson,Christopher Pearse Cranch,c. 1853,https://nrs.harvard.edu/urn-3:HUAM:51610_dynmc,"

",9457.89
The Quarry at Halibut Point,Nancy Mitchnick,1996,,,2036.56
Monks in a Ruined Crypt,François-Marius Granet,18th-19th century,https://nrs.harvard.edu/urn-3:HUAM:51255_dynmc,,5432.97
"Composition with Blue, Black, Yellow, and Red",Piet Mondrian,1922,https://nrs.harvard.edu/urn-3:HUAM:60791_dynmc,,9427.11
"Illustrated Story of the Origin of Hashidate (Hashidate no honji), the Shrine at Ama no Hashidate",Unknown Artist,"Early Edo period, mid 17th century",https://nrs.harvard.edu/urn-3:HUAM:DDC109489_dynmc,,7703.13
"Krishna and Balarama Seated Beneath an Awning, from a Bhagavata Purana Series",Unknown Artist,c. 1820,https://nrs.harvard.edu/urn-3:HUAM:ISL10191_dynmc,"The painting depicts Krishna, the eight avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, seated on an enclosed, outdoor terrace under an awning. He faces his elder brother, Balarama. Both are crowned and rest against large fabric bolsters. On either side of the awning is a male attendant carrying a flywhisk made of peacock feathers.",4397.49
Wounded Amazon,Franz von Stuck,1905,https://nrs.harvard.edu/urn-3:HUAM:73306_dynmc,,6833.92
Landscape with a Figure Crossing a Bridge to Reach a Village Nestled in a Mountain Valley,Shim Sa-chŏng (also known as Yi-suk ['cha']; Hyŏn-chae ['ho']),mid 18th century,https://nrs.harvard.edu/urn-3:HUAM:73741_dynmc,,5264.9
Study for Running Man,Richard Artschwager,1996,,,7827.54
Carp Leaping above White-Capped Waves,Unknown Artist,late 18th-early 19th century,https://nrs.harvard.edu/urn-3:HUAM:73818_dynmc,,9513.28
Untitled,Rudolf de Crignis,1999,https://nrs.harvard.edu/urn-3:HUAM:71931_dynmc,"The canvas has several layers of white gesso, each of which is sanded to achieve a smooth ground. The artist applies the gesso ground around the outer edges of the stretcher, so that the painted surface appears to be floating on a smooth white porcelain block. He applies color in thin layers of glaze, like so many veils. As many as 40 layers of glaze are built up over a period of several weeks. Laying down even, continuous brushstrokes in alternating layers of vertical and horizontal orientations, he creates a subtle grid pattern. The artist often applies one or more colors in addition to blue -- in this case, 6-8 layers of cinnabar green at different depths (traces of which can be seen around the edges of the painting). Layers of ultramarine in combination with royal blue (a mixture of ultramarine and titanium white) make the other colors vibrate, acting ""as a catalyst to bring the involved colors into spacious movement on the top of the surface."" (See artist's statement in object file.) The surface texture is purely the result of brushwork, which creates a structural discipline that interacts with the expansive dematerialized sensuality of blue. 
",7215.97
Rocky Bay South of Salerno with View of Capri,Alexandre Gabriel Decamps,c. 1847,https://nrs.harvard.edu/urn-3:HUAM:77278_dynmc,,2741.3
Orchids and Rocks,Yi Ha-ŭng (also known as Taewŏn’gun),dated early autumn 1892,https://nrs.harvard.edu/urn-3:HUAM:51772_dynmc,"A royal prince, Yi Ha-ŭng was the father of King Ko-chong (r. 1864-1906), the last king of the Chosŏn dynasty (1392-1910). In addition to being an enlightened statesman, Yi was an accomplished painter and calligrapher who was unsurpassed in his mastery of orchid painting. Frequently depicted in literati paintings alongside rocks and boulders, the orchid appears graceful, elegant, and unaffected by its rough surroundings. The orchids and rocks in Yi's paintings typically enter the composition at dramatic angles and generally occupy only one corner or one side of a composition. 

Korean folding screens often have six panels, like those painted in Japan; more characteristically, however, Korean screens boast eight, ten, or even twelve panels. In some cases, a Korean screen may feature a single, unified composition that spreads across all its panels; in other instances--such as this one--each panel is conceived as an individual painting. The ten separate paintings that compose this screen are grouped in four pairs, with an individual composition mounted on the first and last panels of the screen. Each of the four pairs in the middle can be read as a single composition or as two separate paintings. Such visual double entendres held a special allure for Korean literati artists of the nineteenth and early twentieth century. This screen's large size and its royal authorship indicate that it was painted for one of the royal palaces.

Each painting bears a personal seal of the artist, rather than a seal with the artist's name or sobriquet. For example, the seal in the lower right corner of the ninth panel (second from the left) translates into the aphorism ""The best time to view a flower is when it is half open."" The other nine personal seal impressions vary from idiomatic phrases to humorous remarks on Daoism and Buddhism. In the very last panel at the far left, however, Yi Ha-ŭng signs and impresses two of his artist's seals to the painting, making the authorship of this important screen indisputable. His inscription translates as, ""Done by the seventy-three-year-old old man Sŏk-p'a in the early autumn of 1892.""
",4679.8
Landscape,Jean-Baptiste-Camille Corot,19th century,https://nrs.harvard.edu/urn-3:HUAM:61826_dynmc,,9637.48
The Quarry at Halibut Point,Nancy Mitchnick,1996,,,8619.76
"Mountain Landscape: ""Jhelum  below Dulai",Unknown Artist,19th century,https://nrs.harvard.edu/urn-3:HUAM:ISL10175_dynmc,"The watercolor shows a rocky river bank with mountains in the middle-ground and the distance. At the bottom of the rocks in the foreground is an inscription written in brown ink: “Jhelum below Dulai”. “Jhelum” refers to the Jhelum River that flows through Indian and Pakistani-controlled portions of Kashmir, as well as Pakistani-controlled portions of Punjab. “Dulai” Is located in Azad Kashmir, Pakistan. Company School.",6244.93
"Blossoming Branch of an Old, Weathered Plum Tree",Unknown Artist,17th century,https://nrs.harvard.edu/urn-3:HUAM:71986_dynmc,"Because it blooms in winter, even before it dons its leaves and while snow and ice still cover the ground, the Chinese flowering plum (Prunus mume) became a symbol of purity and of strength in the face of adversity; as such, it was popular as both a literary and an artistic motif in China, Korea, and Japan. The plum, together with the orchid, the chrysanthemum, and the bamboo (three other botanical subjects imbued with symbolic Confucian meaning and conducive to depiction with a calligraphy brush and ink), came to be known as the ""Four Gentlemen.""

In this delicately rendered painting, the old blossoming plum tree appears almost as if enveloped in mist and shrouded in silvery moonlight. Unlike the rugged, expressive ink plum paintings by Cho Hŭi-ryong (1791-1859), the emphasis in this work is on suggestive description and delicate brushwork-characteristics typical of seventeenth- and eighteenth-century Korean paintings of plum blossoms.

The wear and slight damage along the right edge of this painting, combined with absence of damage along the left vertical edge, suggest that it was once part of a folding screen. In that context, it is possible that the painting was salvaged from a damaged screen and subsequently mounted as a hanging scroll. One can imagine that the painting originally was one of six or eight panels, each of which represented an old plum tree.

",5105.71
"Krishna and Balarama Seated Beneath an Awning, from a Bhagavata Purana Series",Unknown Artist,c. 1820,https://nrs.harvard.edu/urn-3:HUAM:ISL10191_dynmc,"The painting depicts Krishna, the eight avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, seated on an enclosed, outdoor terrace under an awning. He faces his elder brother, Balarama. Both are crowned and rest against large fabric bolsters. On either side of the awning is a male attendant carrying a flywhisk made of peacock feathers.",8100.18
A Pavilion Secluded in a Bamboo Grove,Hŏ Ryŏn 허련 許鍊 (also known as So-ch'i and Ma-hil),mid-late 19th century,https://nrs.harvard.edu/urn-3:HUAM:73743_dynmc,,9909.1
Orchid and Rock,Kim Ŭng-wŏn (also spelled Gim Eung'won; also known as So-ho and Ch'ŏn-ram),late 19th-early 20th century,https://nrs.harvard.edu/urn-3:HUAM:71981_dynmc,"An important painter and calligrapher of the late Chosŏn period, Kim Ŭng-wŏn is best remembered for his depictions of orchids, which he painted in the manner of the nineteenth-century master Prince Yi Ha-ŭng. (A magnificent screen by Prince Yi Ha-ŭng is featured in this gallery's glass-fronted screen case.) A professor of painting and calligraphy at the Institute of Arts in Seoul, Kim was also one of the founders of the Painting and Calligraphy Association, established in 1918. 

The orchid, a symbol of loyalty and personal integrity, held a fascination for literati painters, since its grasslike leaves and delicate, simple flowers lent themselves to depiction with calligraphic brushwork. Chinese artists had begun to paint the orchid during the Song dynasty (960-1279), the subject becoming ever more popular in the succeeding Ming (1368-1644) and Qing (1644-1911) dynasties. By the eighteenth century, the taste for paintings of orchids had spread to Korea, where these works enjoyed considerable vogue in the nineteenth and twentieth centuries. 

Chinese and Korean artists typically paired orchids and rocks, the orchids coaxing the artist to employ his most delicate, curvilinear brushwork, the rocks tempting him to present his most forceful and expressionistic brushwork. The inscription on this painting translates as:

While sitting quietly, I sense a subtle fragrance.
Such subtlety exists only between reality and imagination.
--So-ho
",9526.57
The Blessed Lorenzo Giustiniani,Jacopo Bellini,c. 1500,https://nrs.harvard.edu/urn-3:HUAM:71130_dynmc,,3699.36
Panel One (Harvard Mural Triptych),Mark Rothko,1962,,,6051.61
Painted Panel from Wooden Sarcophagus,Unknown Artist,2nd century CE,https://nrs.harvard.edu/urn-3:HUAM:INV027712_dynmc,"Wooden panel over a foot in width, covered with gesso, with a figured scene of two seated deities, each facing a smaller standing figure.  The upper border is stylized cobras, and there are sections of painted hieroglyphic writing.",5905.42
"Landscape After Wang Meng's ""Immortal Abode in the Pine Covered Mountains""",Wang Hui 王翬,1701,https://nrs.harvard.edu/urn-3:HUAM:70804_dynmc,,1987.0
"Verdant Cliffs at Ku-tam [Tortoise Lake], Tan-yang, probably originally from an album of eight leaves depicting ""Eight Views of Tan-yang"" [Tan-yang p'al-kyŏng]",Chŏng Sŏn (also known as Wŏn-paek ['cha']; Kyŏm-chae ['ho']),mid 18th century,https://nrs.harvard.edu/urn-3:HUAM:70807_dynmc,,5820.95
